a,b,stratum,identity,cosine,same_family
Q5FWF7,Q9HBM1,random,0.1466,0.9219,False
O35710,Q9V8M5,random,0.1556,0.8115,False
P10284,P40060,random,0.0945,0.8441,False
P0DM41,Q8W035,random,0.1696,0.7381,False
P0A772,P0ACK5,random,0.1333,0.9042,False
P54482,Q9ZSR7,random,0.213,0.7878,False
P78426,Q8AWD1,random,0.1087,0.9007,False
P0A6B7,Q9C7M1,random,0.1591,0.7431,False
P0A7R1,Q6ZS82,random,0.166,0.8047,False
O34814,Q9SVU0,random,0.1419,0.812,False
Q9D4V6,Q9XWE9,random,0.1105,0.9053,False
C9JJ37,Q8BYG0,random,0.1829,0.8878,False
A6NCE7,P77434,random,0.0971,0.8219,False
Q5VZB9,Q9CPX5,random,0.1415,0.9399,False
O13525,O31754,random,0.1678,0.8658,False
P14905,Q9H0I3,random,0.1499,0.9153,False
F1QPR4,P38264,random,0.1301,0.9366,False
Q8CFR0,Q9LVA9,random,0.1471,0.8636,False
P24469,P41271,random,0.1685,0.8477,False
O96033,Q93VK8,random,0.2043,0.8207,False
Q91VM5,Q9FNZ2,random,0.1953,0.72,False
E5RG02,P48023,random,0.1559,0.8998,False
Q96CB8,Q9LIR9,random,0.1492,0.749,False
Q9C691,Q9C6B9,random,0.1069,0.9131,False
P0AE39,Q9D0M2,random,0.1432,0.7601,False
Q8H0Z4,Q9LVG2,random,0.1554,0.9042,False
P76111,P81102,random,0.1643,0.7874,False
O15130,Q9W256,random,0.1491,0.8886,False
O43704,Q19951,random,0.1384,0.7831,False
Q7KN79,Q94ID6,random,0.0872,0.8932,False
P47879,Q42569,random,0.1366,0.8649,False
P27859,Q96HM7,random,0.152,0.8036,False
O07535,O95992,random,0.1345,0.7832,False
Q3UKZ7,Q9CY94,random,0.1376,0.9616,False
Q8GWG2,Q9SJ09,random,0.1347,0.9112,False
F4IYZ0,Q95ZW1,random,0.133,0.7666,False
A4QNX6,P39787,random,0.1522,0.8888,False
P39138,Q9SIV9,random,0.1577,0.8547,False
P22935,Q9XXL3,random,0.1862,0.8838,False
Q86YB8,Q9H3K6,random,0.0578,0.6486,False
O23140,Q9VLU0,random,0.0639,0.9322,False
P0A7E9,P41159,random,0.1347,0.8403,False
P15289,P36952,random,0.1469,0.7538,False
Q08268,Q9DAK8,random,0.1113,0.7856,False
A8K830,Q14CN4,random,0.1381,0.9144,False
Q8BV66,Q9SVI0,random,0.1181,0.8988,False
Q4VBI7,Q9FZI7,random,0.1195,0.9061,False
P00811,Q9FFS9,random,0.1784,0.7357,False
Q47150,Q9SI60,random,0.1391,0.772,False
Q04712,Q7DFV3,random,0.0769,0.7553,False
Q9D4B1,Q9NVF7,random,0.1578,0.8681,False
O06480,Q19541,random,0.1715,0.78,False
O88809,Q9JIM5,random,0.1398,0.9315,False
Q99489,Q9VLA1,random,0.1726,0.8985,False
P02920,Q9M8L2,random,0.1544,0.8403,False
C9JJ37,O95994,random,0.1327,0.8004,False
P56857,Q3E965,random,0.1364,0.9011,False
P49077,Q9VCY3,random,0.1711,0.9225,False
P0A7B5,Q3U129,random,0.1622,0.9074,False
Q9H9J2,Q9Y5W5,random,0.1788,0.9366,False
O82533,Q9SB00,random,0.1808,0.9212,False
A0A087WW87,P42924,random,0.1148,0.6806,False
P34476,Q8C0T0,random,0.0848,0.8931,False
P0DO23,Q8W571,random,0.165,0.948,False
Q9JJT9,Q9ZPV8,random,0.1269,0.816,False
O32100,Q9SU44,random,0.0913,0.8857,False
Q9UPY6,Q9XGX9,random,0.0578,0.8769,False
O17204,P40344,random,0.1608,0.9639,False
P42866,Q8K1T0,random,0.1768,0.8308,False
P28618,Q6ZS10,random,0.1349,0.7901,False
Q3TYX3,Q6UWE3,random,0.0811,0.9113,False
Q9BQ66,Q9VYA8,random,0.0952,0.3954,False
P18411,P25666,random,0.1394,0.9348,False
Q8BK58,Q9UIA0,random,0.1552,0.9376,False
Q04067,Q8JZX3,random,0.1256,0.8127,False
P24526,Q9CQR5,random,0.1639,0.8463,False
P96718,Q5RL79,random,0.0977,0.8109,False
Q8GZ84,Q9Y679,random,0.1289,0.9229,False
P55083,Q9BV90,random,0.1069,0.9304,False
O82597,Q24572,random,0.1363,0.7667,False
P25359,Q80ZF2,random,0.1179,0.9276,False
Q8R0J7,Q9FNK0,random,0.1601,0.7838,False
Q91WV0,Q9ASW3,random,0.0922,0.9461,False
O34714,Q9FV02,random,0.1582,0.9061,False
Q15768,Q9H209,random,0.13,0.5649,False
P30204,Q9C9K4,random,0.1928,0.8887,False
Q12442,Q8CHQ0,random,0.1627,0.8824,False
O23429,Q9CR20,random,0.1081,0.8897,False
O17606,P24457,random,0.1594,0.8142,False
Q8BS95,Q8GY03,random,0.1537,0.8483,False
P00937,Q06235,random,0.0785,0.7824,False
O75610,Q9C9A9,random,0.1678,0.8587,False
Q941D1,Q9BQ24,random,0.1333,0.9339,False
P76052,Q9D6P8,random,0.1056,0.7357,False
P06616,P11912,random,0.1614,0.7414,False
O35565,Q8S8T4,random,0.1126,0.8765,False
O23063,Q16890,random,0.1491,0.9135,False
Q67ZM7,Q9M115,random,0.1426,0.8844,False
C0HKA2,P28229,random,0.1244,0.6349,False
P0ABL1,Q9LTS6,random,0.1937,0.8433,False
Q08170,Q8N183,random,0.083,0.737,False
O45365,Q4PNJ2,random,0.1178,0.9327,False
P49441,Q8NA56,random,0.185,0.9276,False
O80765,Q8BPA8,random,0.125,0.9228,False
Q9D338,Q9H3H5,random,0.1513,0.8211,False
Q15084,Q9LG23,random,0.1846,0.8958,False
P0A9M2,Q32MW3,random,0.1276,0.7743,False
Q9H161,Q9H5Z6,random,0.1835,0.9442,False
P03987,Q8WYR4,random,0.1372,0.8431,False
Q6NQK9,Q9LVW3,random,0.1499,0.9072,False
P50458,Q95XD3,random,0.0936,0.9031,False
Q9UJN7,Q9ZUB8,random,0.1462,0.7993,False
P21854,P32447,random,0.1459,0.789,False
P32242,Q99L04,random,0.1823,0.7729,False
P37639,Q9Y235,random,0.1628,0.8869,False
O32147,Q06707,random,0.1088,0.8707,False
Q7TPQ9,Q8L5V0,random,0.0725,0.8807,False
O14793,Q9LY41,random,0.1411,0.8993,False
P49366,Q8R123,random,0.1492,0.9154,False
P00937,P32178,random,0.1179,0.8519,False
P05113,Q99766,random,0.1386,0.9457,False
Q8L910,Q96PS1,random,0.195,0.6813,False
P0DJD8,Q06688,random,0.1385,0.7773,False
P46560,Q00288,random,0.1582,0.8964,False
Q17R31,Q84TF4,random,0.1341,0.8846,False
P77757,Q9W2N0,random,0.1545,0.7653,False
P0DMQ5,Q9NPG2,random,0.1436,0.908,False
P43589,Q9XVS8,random,0.1673,0.9594,False
P77689,Q5TDP6,random,0.1591,0.8216,False
Q8K3J9,Q9U6B8,random,0.1596,0.9571,False
P03977,Q9M8R7,random,0.0732,0.7674,False
Q96511,Q9FXC7,random,0.1652,0.9415,False
P08833,P49596,random,0.1444,0.8418,False
P39107,Q8NEA4,random,0.1165,0.9115,False
O81014,Q94901,random,0.1731,0.7872,False
A0A2Z4LIS9,P48598,random,0.1812,0.8831,False
O43325,P42644,random,0.1303,0.9518,False
P39525,Q9XTI0,random,0.1794,0.8496,False
P38736,Q3UBZ5,random,0.1843,0.9014,False
Q0WNN7,Q922Q4,random,0.1381,0.8579,False
P24867,Q96Q45,random,0.1483,0.9412,False
Q80YQ8,Q9VL31,random,0.1385,0.9482,False
O14977,Q9FMZ4,random,0.1451,0.8638,False
Q12293,Q6P4F1,random,0.1404,0.8742,False
P92959,Q6DHS9,random,0.1415,0.7526,False
P28654,Q5TA77,random,0.0904,0.7276,False
P0A9K3,Q96IZ0,random,0.1751,0.903,False
P06336,P41225,random,0.145,0.7529,False
P81760,Q8JIR0,random,0.119,0.9122,False
Q09369,Q9M9S2,random,0.149,0.9132,False
O88843,Q9Y320,random,0.1489,0.9419,False
Q99N85,Q9Y471,random,0.1255,0.9366,False
O17706,Q700E4,random,0.154,0.9461,False
O15198,P09326,random,0.1606,0.838,False
Q12226,Q9D1G5,random,0.1345,0.8314,False
P23179,Q8VY49,random,0.1432,0.9218,False
Q9VKX7,Q9VWA8,random,0.1097,0.8467,False
Q8LGD5,U4PLN7,random,0.1356,0.9508,False
Q795U4,Q84JZ6,random,0.1679,0.8144,False
G5EC63,O34861,random,0.1371,0.8844,False
Q8BPK2,Q8N143,random,0.184,0.8984,False
Q7T312,Q9Y274,random,0.1532,0.9453,False
Q3TLS3,Q9CVI2,random,0.1072,0.8201,False
Q08457,Q9M2K6,random,0.1515,0.9403,False
P92947,Q49GP5,random,0.1697,0.892,False
Q9LVA1,Q9SRM9,random,0.1486,0.9083,False
P42795,P56772,random,0.1422,0.8802,False
P46570,Q08431,random,0.1608,0.7544,False
P03872,Q06330,random,0.1516,0.9584,False
P53203,Q8CHX7,random,0.1734,0.9605,False
Q502C1,Q94F40,random,0.1515,0.8515,False
P42182,Q7WY75,random,0.0698,0.727,False
Q5TA77,Q9D6J5,random,0.1237,0.779,False
Q9QY93,Q9S4X2,random,0.1572,0.8675,False
A3KP74,Q8NEA4,random,0.1744,0.9332,False
P54368,P76103,random,0.1349,0.8417,False
O43927,Q9SI18,random,0.0839,0.8858,False
P20483,Q9LF14,random,0.1044,0.8651,False
O49645,P41896,random,0.0975,0.8628,False
O31519,P45870,random,0.127,0.7277,False
Q8GYY0,Q9C9M9,random,0.1395,0.8469,False
Q8BVC1,Q9DCL8,random,0.1402,0.8295,False
Q16048,Q3TLS3,random,0.0803,0.8939,False
Q147U7,Q9LD28,random,0.1636,0.9576,False
Q02427,Q20263,random,0.1558,0.8077,False
P24197,Q6DHS9,random,0.1538,0.7519,False
Q9CYX7,Q9LXU0,random,0.089,0.9067,False
P0CG47,Q8R173,random,0.1191,0.1493,False
P50608,Q09637,random,0.1523,0.8536,False
P56693,Q9LHN6,random,0.1649,0.837,False
Q03250,Q7TN05,random,0.1337,0.5719,False
Q0WPX7,Q9H095,random,0.1738,0.9673,False
Q93703,Q9BYD6,random,0.1556,0.9146,False
Q19351,Q9R112,random,0.1402,0.8266,False
P38726,Q8CHY7,random,0.082,0.8736,False
P55082,Q3TYR5,random,0.1563,0.971,False
O43820,Q8NEA4,random,0.1146,0.8265,False
P06879,Q06466,random,0.1392,0.939,False
Q6UW49,Q8CII9,random,0.1717,0.8809,False
P31109,Q9C7X8,random,0.0689,0.7348,False
Q1LY10,Q9VDD1,random,0.1417,0.9053,False
O88809,Q9WUC3,random,0.1138,0.8794,False
C9JUS6,P21656,random,0.1061,0.6479,False
P56880,Q60773,random,0.1404,0.8041,False
P10854,Q8BKT6,random,0.1006,0.8666,False
Q5VWM6,Q9VHI7,random,0.1443,0.8589,False
Q19584,Q9LKA1,random,0.152,0.9551,False
P03962,P19366,random,0.1465,0.9371,False
O43716,P54730,random,0.1151,0.9028,False
P32344,Q96MH2,random,0.1049,0.8933,False
Q64685,Q7SYK1,random,0.1548,0.926,False
P37515,P40447,random,0.149,0.8558,False
Q7WY75,Q9SNB6,random,0.0506,0.8763,False
P32082,Q9D975,random,0.1153,0.8434,False
O34816,P0DJG4,random,0.1028,0.7443,False
Q84W66,Q9Y2C4,random,0.1693,0.9154,False
O95861,Q9SNY3,random,0.1684,0.8451,False
Q9EQN3,W5XKT8,random,0.1651,0.9036,False
Q9D5H4,Q9SRD8,random,0.144,0.8892,False
Q9FL48,Q9LF22,random,0.1309,0.8631,False
O80927,Q12402,random,0.1516,0.9121,False
P50864,Q12000,random,0.1267,0.8123,False
O17699,P63241,random,0.1278,0.8898,False
P70331,Q5W064,random,0.1654,0.6133,False
P0ADP7,Q9JIP4,random,0.1227,0.9418,False
P38991,Q06520,random,0.1279,0.8386,False
P06467,Q8N682,random,0.1387,0.9551,False
P02394,Q00288,random,0.07,0.8533,False
Q05159,Q96F85,random,0.101,0.8971,False
P0AB58,Q8RW90,random,0.1641,0.8897,False
P54499,Q9FK53,random,0.132,0.8268,False
G5EDE5,Q93169,random,0.1595,0.9212,False
Q08957,Q8C1Q4,random,0.1402,0.8777,False
O96020,Q5VZ03,random,0.1057,0.9219,False
Q6JVL5,Q9LRQ7,random,0.1239,0.8353,False
O81045,Q46803,random,0.1421,0.9021,False
P04951,P36363,random,0.1496,0.7019,False
P17509,Q91WS0,random,0.1266,0.8859,False
A0A8I5KY20,Q9NFT7,random,0.1227,0.8216,False
Q84JQ8,Q9FXI7,random,0.107,0.8822,False
Q8GY03,Q9FZ35,random,0.1501,0.7667,False
P37630,Q99LM3,random,0.1509,0.8568,False
Q12468,Q12509,random,0.1597,0.929,False
P76011,Q5SQP1,random,0.0909,0.6722,False
Q5G864,Q9SKP6,random,0.0952,0.796,False
O81037,Q17459,random,0.1296,0.7888,False
P76226,Q8GXF0,random,0.1328,0.8322,False
O00602,Q3V0J1,random,0.1651,0.9342,False
P14416,P38727,random,0.1233,0.8843,False
P42624,Q8IUB3,random,0.1245,0.8302,False
P23451,P24469,random,0.0965,0.8703,False
P79746,Q99LM3,random,0.1548,0.889,False
Q21181,Q9BQ66,random,0.1269,0.4778,False
P82658,Q9SIH1,random,0.1435,0.9584,False
P91427,P94498,random,0.1388,0.8239,False
Q8QZS5,Q9STW3,random,0.185,0.9391,False
P23877,Q9SHJ0,random,0.1633,0.7834,False
Q8C1S0,Q9CQT1,random,0.1486,0.8968,False
O70556,Q9H7V2,random,0.0736,0.6455,False
O32142,Q06541,random,0.1207,0.8931,False
Q9D300,Q9SCY2,random,0.1137,0.8976,False
P39619,Q8L8Y3,random,0.127,0.7099,False
P0AAA3,Q70KL3,random,0.0872,0.8766,False
O80982,P97769,random,0.1534,0.9315,False
P42624,Q8BPP1,random,0.1444,0.8645,False
P54607,Q39265,random,0.1732,0.8096,False
Q84WP6,Q9JIB0,random,0.1421,0.8814,False
O31665,P27352,random,0.1716,0.8224,False
P39787,Q6ZP29,random,0.151,0.8177,False
Q8NEQ6,Q9SF35,random,0.1824,0.8425,False
O31963,Q8IWP9,random,0.1429,0.889,False
Q96E22,Q9Y3D5,random,0.1347,0.9527,False
P97473,Q20257,random,0.1611,0.9145,False
O34437,Q8BHE0,random,0.1568,0.7373,False
Q43349,Q9UGI9,random,0.1409,0.658,False
P02381,Q39091,random,0.1266,0.7286,False
P0AG11,Q9JMG7,random,0.1561,0.7135,False
P18509,P47040,random,0.0935,0.88,False
A0A0B4J245,P0DP92,random,0.112,0.6916,False
P20290,Q9AST8,random,0.1116,0.9267,False
P0CG13,Q9JJ80,random,0.1144,0.9641,False
P40070,Q5M8N4,random,0.1258,0.6593,False
O07535,P77434,random,0.1262,0.8438,False
Q6QA32,Q95029,random,0.1328,0.8418,False
Q04406,Q9NWH7,random,0.1127,0.9357,False
O35536,Q86Y39,random,0.1452,0.832,False
Q8VBV8,Q9SKC9,random,0.1244,0.9227,False
P24387,Q9D2X0,random,0.1652,0.8603,False
Q38HM4,Q9S7F3,random,0.1524,0.8933,False
O60496,Q9JIZ0,random,0.1415,0.8605,False
P49768,Q9LXR0,random,0.1629,0.8467,False
O95620,P20863,random,0.1571,0.7804,False
A0A075B734,P06968,random,0.1207,0.8407,False
Q80V53,Q9BYG7,random,0.154,0.8572,False
P09455,Q8VZP1,random,0.1382,0.8924,False
P33309,P70999,random,0.18,0.8738,False
P49962,Q05791,random,0.0859,0.9596,False
Q8R1Q9,Q96EY4,random,0.1463,0.2574,False
Q64221,Q9Y3V2,random,0.1393,0.9082,False
Q91XW8,Q9D4V6,random,0.1355,0.9266,False
P34429,Q9VHB3,random,0.148,0.8831,False
Q5M956,Q9CAS1,random,0.1705,0.9202,False
Q6NYU6,Q9LSH2,random,0.1599,0.7948,False
Q95T19,Q99N23,random,0.1711,0.7887,False
P61927,Q06266,random,0.0716,0.9039,False
Q06828,Q9FKW2,random,0.1962,0.8597,False
P0CE92,P69816,random,0.1694,0.9234,False
P37837,P76221,random,0.1378,0.8707,False
Q08522,Q9XF91,random,0.1353,0.8273,False
P29384,Q99KK2,random,0.1309,0.8772,False
C0SPB2,Q9QXK2,random,0.1467,0.6604,False
Q6SJQ7,Q9Z0N2,random,0.1534,0.7754,False
P47949,Q96F25,random,0.1651,0.8089,False
P20631,P26998,random,0.1456,0.8436,False
Q6E244,Q9JLK3,random,0.1659,0.8285,False
Q8BGR8,Q93Z96,random,0.1617,0.9211,False
O18141,Q18493,random,0.1654,0.9316,False
O35714,Q8VIK3,random,0.1564,0.8334,False
Q94L32,Q9M0R7,random,0.0907,0.9296,False
P07498,P94398,random,0.1377,0.8628,False
O35526,P0CB48,random,0.1362,0.8348,False
Q9FWS3,Q9V3B4,random,0.1144,0.8052,False
P10828,Q8N5J4,random,0.1475,0.958,False
P0AEM9,Q9D020,random,0.1948,0.7585,False
P96587,Q498W5,random,0.1553,0.8626,False
O35714,Q3SX64,random,0.1667,0.8717,False
Q3TQB2,Q9Y3I0,random,0.1781,0.8982,False
Q803D2,Q945S5,random,0.1673,0.7715,False
P42207,Q9VLP9,random,0.1785,0.9109,False
A8WHP9,Q9LIR9,random,0.1264,0.7742,False
B1ANY3,Q7Z3B4,random,0.1457,0.8054,False
Q1A3B0,Q9M0C2,random,0.0911,0.8279,False
A5WUX7,Q96H78,random,0.121,0.82,False
Q7KTH8,Q9SZL4,random,0.1481,0.8909,False
Q8N123,Q9LSM9,random,0.1396,0.8583,False
Q9H098,Q9M2U3,random,0.0788,0.8513,False
B1AUS7,Q96PC2,random,0.0634,0.8552,False
Q9D4J7,Q9FIC9,random,0.1371,0.8346,False
P61580,Q6PFM0,random,0.0744,0.8409,False
O80803,Q58G33,random,0.1486,0.8897,False
O75638,O75792,random,0.1401,0.7887,False
P09169,Q8WWX0,random,0.1768,0.8093,False
A6H8Z2,Q9D7M1,random,0.1638,0.9256,False
Q5T9Z0,Q94F58,random,0.1354,0.9427,False
Q78PG9,Q93246,random,0.1402,0.8912,False
P01303,Q09528,random,0.0734,0.9394,False
O32277,Q96DA6,random,0.131,0.8814,False
Q9JLZ8,Q9ZUI8,random,0.1527,0.7996,False
Q09476,Q9Y584,random,0.1202,0.8679,False
P06748,Q921R7,random,0.131,0.8618,False
P01802,Q6NLS8,random,0.1448,0.7207,False
A6NI15,Q9LNH5,random,0.1165,0.793,False
O70273,Q9M2P8,random,0.1089,0.9513,False
O14836,Q9WUA1,random,0.1779,0.9231,False
P17918,P46548,random,0.1537,0.8932,False
Q6VVW9,Q9CPU3,random,0.1058,0.7995,False
Q96GU1,Q9Y3T6,random,0.1045,0.8981,False
Q93249,Q9BTA0,random,0.086,0.9039,False
P15425,P60981,random,0.1694,0.9746,False
P20081,Q7Z699,random,0.0919,0.7409,False
P0AG44,P14576,random,0.0848,0.8725,False
A5Z2X3,Q5U3H3,random,0.1706,0.9555,False
P15367,P94364,random,0.113,0.8855,False
A0A1W2PQ73,P54952,random,0.141,0.6532,False
Q3TBN1,Q9LHQ0,random,0.1703,0.8732,False
P80643,Q46832,random,0.1,0.7492,False
Q700E4,Q9CRB0,random,0.1421,0.936,False
Q7T292,Q8VC88,random,0.1601,0.8289,False
Q49AR2,Q9SAI2,random,0.1597,0.7833,False
O61235,P60782,random,0.1195,0.7896,False
O80603,Q66LE6,random,0.173,0.8842,False
O45168,Q09217,random,0.1417,0.9129,False
P13861,P49018,random,0.1703,0.8697,False
Q14088,Q6TAW2,random,0.0802,0.8758,False
P43592,Q6AZD1,random,0.1445,0.9178,False
A0A5B6,P12385,random,0.0801,0.7474,False
P27202,Q53FP2,random,0.1667,0.9267,False
O88851,Q9GZV9,random,0.1429,0.919,False
O32074,Q8VE91,random,0.1062,0.8611,False
P42596,Q9V5Z7,random,0.1368,0.7717,False
Q9FZD5,Q9H5Z6,random,0.165,0.8376,False
P25043,Q9SN52,random,0.1565,0.9423,False
A0MFH4,O80573,random,0.1399,0.9417,False
Q93083,Q9SKP6,random,0.0603,0.7269,False
Q9HCU5,Q9VHI4,random,0.0667,0.8744,False
P00860,Q12096,random,0.1704,0.8497,False
O64668,Q7ZUG5,random,0.0485,0.888,False
P31061,Q9WTN0,random,0.1303,0.789,False
P17563,Q18079,random,0.1263,0.9122,False
P33622,Q7TT52,random,0.1572,0.9267,False
Q922Z1,Q9XI31,random,0.135,0.8905,False
P0A9X4,P42771,random,0.1331,0.8033,False
P43594,Q07998,random,0.1017,0.9429,False
Q9LVM3,Q9LXQ6,random,0.1452,0.8307,False
P00937,Q9SHJ0,random,0.1609,0.889,False
P37001,Q93Z51,random,0.1613,0.836,False
Q8LF05,Q9C975,random,0.1735,0.9314,False
O75829,Q0WLR1,random,0.1452,0.9169,False
Q05AK9,Q9Y5M8,random,0.0701,0.8719,False
B0FP48,Q9BYQ9,random,0.1511,0.5868,False
O70514,Q8N183,random,0.1575,0.9405,False
O34591,Q64368,random,0.1722,0.8334,False
P01797,P42418,random,0.1168,0.7271,False
A0A8M9Q308,Q7XA67,random,0.1211,0.8581,False
Q5H9L4,Q9JI13,random,0.1685,0.9578,False
P46604,Q20781,random,0.1736,0.8725,False
P0AB40,Q02554,random,0.0711,0.849,False
P94390,Q9W429,random,0.1489,0.8051,False
O07552,Q8GWA7,random,0.1197,0.8728,False
Q8BHK1,Q9ZWB8,random,0.1101,0.7695,False
Q18779,Q8K2Y9,random,0.1511,0.7768,False
Q8IYD9,Q9NWH2,random,0.1126,0.9329,False
O43716,Q969V4,random,0.1002,0.9551,False
O82255,P0CX80,random,0.1359,0.7631,False
O95503,Q9SVA1,random,0.1513,0.8798,False
P13716,Q9Y2U9,random,0.149,0.8926,False
F4IC29,Q9LVZ8,random,0.1378,0.8586,False
P06327,Q8R1F9,random,0.0882,0.6658,False
P0AG99,Q9SN78,random,0.0988,0.7676,False
P82639,Q8T3L6,random,0.1003,0.8798,False
P97400,Q9U3L0,random,0.0833,0.8336,False
P75990,Q39138,random,0.0868,0.8256,False
P59646,Q6UXP3,random,0.1705,0.9087,False
Q96L94,Q9C9W5,random,0.1244,0.8663,False
Q12266,Q9FGK0,random,0.0955,0.9039,False
P43636,P93311,random,0.1426,0.8481,False
O22468,Q80X60,random,0.1609,0.7895,False
P53850,Q9BYE3,random,0.0599,0.7426,False
Q8I0G4,Q9JMK0,random,0.1729,0.9475,False
P25719,Q9BWH2,random,0.16,0.9443,False
Q3EAY9,Q9NS61,random,0.1218,0.8846,False
P24071,Q8L7R5,random,0.1512,0.8599,False
P22680,P39349,random,0.0673,0.8323,False
Q9BQQ3,Q9LY28,random,0.1804,0.8019,False
P0ADI4,Q8L9S3,random,0.1368,0.9079,False
P80880,Q9BRG1,random,0.1385,0.7017,False
P0ABK5,P33166,random,0.1827,0.8913,False
P23453,Q925E8,random,0.0783,0.8231,False
Q80U57,Q9SKC9,random,0.1042,0.9206,False
P30138,Q5CZN0,random,0.1923,0.7002,False
Q9SU44,Q9UIG5,random,0.0953,0.8928,False
Q9LRP2,Q9XU84,random,0.175,0.8584,False
P28635,Q8IVP5,random,0.1367,0.7228,False
P46571,Q96FN9,random,0.1064,0.9217,False
Q13765,Q92604,random,0.1478,0.8693,False
P45751,Q5BPZ5,random,0.0941,0.846,False
P21237,P69228,random,0.1831,0.7819,False
P22814,Q39084,random,0.0804,0.9132,False
P01887,Q16621,random,0.0831,0.7732,False
Q06489,Q8LCG7,random,0.1106,0.9162,False
O34726,P39773,random,0.1604,0.8409,False
O49484,P42791,random,0.1354,0.8313,False
P19381,Q9CZU4,random,0.1273,0.8488,False
O45551,Q9Y3T6,random,0.1386,0.8832,False
Q19165,Q8L7N4,random,0.1134,0.7089,False
O82254,P54815,random,0.0994,0.865,False
Q8LGG0,Q8N6I4,random,0.0971,0.7044,False
P09225,Q9NVV0,random,0.1356,0.854,False
P18777,Q09242,random,0.1254,0.8804,False
B1AWI6,Q70Z44,random,0.1053,0.9395,False
P31725,Q8CEG5,random,0.1393,0.8844,False
Q16559,Q9UI09,random,0.1284,0.8564,False
O62518,P71242,random,0.1568,0.9061,False
A2BIJ3,Q91V81,random,0.1892,0.8921,False
Q058P6,Q15777,random,0.1552,0.8755,False
Q6NWE1,Q6NYA0,random,0.1089,0.7551,False
O95992,Q8CF25,random,0.1646,0.8572,False
Q08522,Q9SV01,random,0.0793,0.8691,False
Q9FYL3,Q9XII1,random,0.1468,0.9298,False
Q3UR32,Q9C6V4,random,0.1429,0.8068,False
P32082,Q9CQT1,random,0.1503,0.8268,False
P01748,Q7L2K0,random,0.0855,0.76,False
Q8R1T1,Q9LJR2,random,0.1351,0.875,False
P48539,Q8JHF0,random,0.0965,0.8561,False
Q5U3P0,Q9D5H4,random,0.1548,0.9263,False
Q9CWY4,Q9UIB8,random,0.098,0.8181,False
P97858,Q6PE25,random,0.1703,0.8114,False
O23252,Q93W66,random,0.1308,0.9377,False
P34528,Q9C9A2,random,0.1537,0.7841,False
P40042,Q8CIA5,random,0.1148,0.8011,False
P20081,Q9W256,random,0.1538,0.7305,False
Q9BIB4,Q9LSN7,random,0.1174,0.9084,False
P56880,Q16621,random,0.1195,0.8337,False
P48570,Q96KD3,random,0.151,0.8096,False
O34344,Q20647,random,0.1722,0.8701,False
P0C7L0,Q7TNV0,random,0.1481,0.8851,False
O76021,Q9M2Q6,random,0.1509,0.9207,False
P21246,Q00888,random,0.1064,0.8249,False
Q09470,Q93WU9,random,0.1152,0.8966,False
Q8BXA6,Q8R1Z9,random,0.177,0.271,False
O75674,P91127,random,0.1046,0.8865,False
P05017,P57738,random,0.1801,0.9509,False
P03985,Q01892,random,0.1304,0.8345,False
P0C7A0,Q9NYZ2,random,0.1065,0.7583,False
Q59E04,Q9FKW8,random,0.1159,0.8794,False
A8E7N9,P01674,random,0.0801,0.8213,False
O60909,Q96KP4,random,0.165,0.8256,False
P0AEM9,Q8IQ13,random,0.1316,0.7037,False
O14931,O31704,random,0.1517,0.7931,False
Q6NWZ9,Q6S591,random,0.1216,0.8762,False
P0A6R0,P0C2L3,random,0.116,0.7052,False
O08969,P42772,random,0.1615,0.8155,False
O07592,Q0WNN7,random,0.1201,0.8164,False
A1L243,Q5XFR0,random,0.1434,0.9287,False
Q1HG44,Q6QWF9,random,0.0719,0.9181,False
Q94IB9,Q9FI44,random,0.1559,0.9028,False
Q56XY2,Q8TBN0,random,0.1667,0.8079,False
Q0WPY0,Q6DHP6,random,0.1677,0.9197,False
P0AAA7,P39927,random,0.1542,0.7883,False
P80748,Q9FIK2,random,0.0867,0.7716,False
O22588,O61788,random,0.1319,0.8425,False
O95600,P42603,random,0.1409,0.8636,False
O96020,Q6UXN9,random,0.1455,0.8467,False
P0A8K1,Q60774,random,0.1667,0.8381,False
Q9H061,Q9Y6W8,random,0.1448,0.8908,False
P00163,Q93Y32,random,0.181,0.8488,False
P53850,Q9VJ97,random,0.1762,0.9073,False
P36164,Q9Y1A3,random,0.0917,0.9136,False
Q6JVE6,Q9SJ09,random,0.1373,0.865,False
A0A5A6,O34381,random,0.1311,0.7497,False
A0A0U1RRN3,Q9SUC3,random,0.0484,0.9233,False
Q9R059,Q9Y3C0,random,0.1809,0.8491,False
P37811,Q8L765,random,0.1296,0.8396,False
O81098,Q7Z144,random,0.1727,0.9523,False
P38558,Q05498,random,0.1027,0.8953,False
P05531,P41814,random,0.1065,0.9612,False
O95396,Q9JK48,random,0.1584,0.867,False
A0A0C4DH42,Q8NCN2,random,0.078,0.7742,False
Q8BFZ1,Q9D6K5,random,0.1163,0.8708,False
P24188,Q9DAK4,random,0.1029,0.8865,False
P0A6E6,Q9VXB5,random,0.125,0.9518,False
P24385,Q8VC88,random,0.1538,0.9169,False
O75635,Q9VYV3,random,0.1872,0.8281,False
P49643,Q17361,random,0.1631,0.9125,False
P32451,Q9D3F7,random,0.1538,0.7651,False
Q24400,Q8L4J2,random,0.1648,0.838,False
Q96324,Q9ZWA1,random,0.1043,0.8034,False
